Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37iVijLSSlIbjYbl4ycUge,6C1ohJrd5VydigQtaGy5Wa,Ultrasound,508-507-2209,Joyner Lucas,2017-06-16,174555,51,spotify:user:nicolastoscano75,2019-06-23T06:31:31Z,"boston hip hop,hip hop,pop rap,rap",0.882,0.566,0,-5.265,1,0.406,0.664,0.0,0.193,0.483,110.048,4
1nC1orThSdil3o32fOGGF8,20sxb77xiYeusSH8cVdatc,Check,CREED: Original Motion Picture Soundtrack,Meek Mill,2015-11-20,195560,52,spotify:user:nicolastoscano75,2019-06-24T04:39:16Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",0.677,0.565,1,-7.752,1,0.281,0.000236,0.0,0.107,0.692,179.953,4
5BtN3kFKoISSWFpXWz7O4L,4Mop3hBjHoSoKwwkzKD3Gi,OG Bobby Johnson,OG Bobby Johnson,QUE.,2013-12-17,199432,49,spotify:user:nicolastoscano75,2019-06-25T14:25:53Z,"atl trap,viral trap",0.943,0.949,1,-4.22,1,0.222,0.0362,0.0,0.417,0.701,110.984,4
2rPSFKzGeqUWwfcCFVkkq3,"699OTQXzgjhIYAHMy9RyPD,0hCNtLu0JehylgoiP8L4Gh",Poke It Out (with Nicki Minaj),Die Lit,"Playboi Carti,Nicki Minaj",2018-05-11,269813,63,spotify:user:nicolastoscano75,2019-06-25T14:27:08Z,"atl hip hop,plugg,pluggnb,rage rap,rap,hip pop,pop,queens hip hop",0.894,0.59,9,-5.716,1,0.221,0.0969,8.9e-06,0.329,0.576,147.009,4
4qKcDkK6siZ7Jp1Jb4m0aL,"4TEJudQY2pXxVHPE3gD2EU,3TVXtAsR1Inumwj472S9r4",Look Alive (feat. Drake),Look Alive (feat. Drake),"BlocBoy JB,Drake",2018-02-09,181263,13,spotify:user:nicolastoscano75,2019-06-25T14:27:44Z,"memphis hip hop,rap,tennessee hip hop,trap,canadian hip hop,canadian pop,hip hop,pop rap",0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,4
4UaWrzY75h1tAvlxa4NKP9,"0c173mlxpT3dSFRgMO8XPh,3TVXtAsR1Inumwj472S9r4,5K4W6rqBFWDnAN6FQUkS6x",Blessings - Extended Version,Blessings (Extended Version),"Big Sean,Drake,Kanye West",2015-02-03,301960,54,spotify:user:nicolastoscano75,2019-06-25T14:52:29Z,"detroit hip hop,hip hop,pop rap,r&b,rap,trap,canadian hip hop,canadian pop,chicago rap",0.645,0.606,10,-8.074,0,0.512,0.292,0.0,0.129,0.121,118.8,4
3ncgNpxLoBQ65ABk4djDyd,"0WOxhx4hikIsyF3CRPLC8W,13ubrt8QOOCPljQ2FL1Kca",PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),"Famous Dex,A$AP Rocky",2017-10-20,191251,66,spotify:user:nicolastoscano75,2019-06-25T14:54:28Z,"chicago rap,drill,rap,trap,east coast hip hop,hip hop",0.921,0.467,1,-8.443,1,0.119,0.0149,0.000238,0.334,0.287,135.995,4
5tcfvFZzka79EAoekcuusU,2QLM9IFaHBtB16b8ZDaA3A,same squad,same squad,P-Lo,2018-04-10,151053,27,spotify:user:nicolastoscano75,2019-06-25T14:55:07Z,"asian american hip hop,cali rap",0.918,0.419,7,-9.129,0,0.104,0.0146,4.67e-06,0.195,0.756,96.036,4
55GiOwtxNajXVbpjjIzMnD,5LHRHt1k9lMyONurDHEdrp,SWISH,SWISH,Tyga,2018-07-25,194935,63,spotify:user:nicolastoscano75,2019-06-25T15:29:23Z,"hip hop,pop rap,rap,trap",0.884,0.541,11,-5.608,1,0.221,0.0831,0.0,0.118,0.274,105.009,4
422lAAWQO9TqL1LxIPdhOn,02kJSzxNuaWGqwubyUba0Z,Random,When It's Dark Out,G-Eazy,2015-12-04,180333,57,spotify:user:nicolastoscano75,2019-06-26T06:49:51Z,"indie pop rap,oakland hip hop,pop rap,rap",0.603,0.783,9,-6.891,1,0.138,0.00353,0.0,0.216,0.182,87.154,4
