Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0je2FP3jnEOzma2eHaUPA7,"4agUz5gEUgjnDHiZfZZ3yX","Das Main Ki Pyar Wichon Khatyal","Lak Hile Majajan Jandi Da","Lal Chand Yamla Jatt",1996-06-25,195666,31,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk,shabad",0.756,0.482,7,-11.622,0,0.389,0.525,0.0000219,0.314,0.703,76.212,4
6N7xpfE1gYyd88o1l9odTG,"2yZ5VRE8Cy4H81VL9biNbQ,3cE16YWyzYxHOfnm64kKgg","Pehle Lalkare Naal Main Dar Gai","Desi Rakaad","Amar Singh Chamkila,Amarjot",2004-09-30,211026,42,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic punjabi pop,punjabi pop",0.563,0.513,0,-12.14,1,0.112,0.704,0.00000112,0.153,0.894,165.962,4
0Pdyh8KpajPH3pdnOksgGF,"2ENaPFnsKa9MlutVokd6es","Kabza","Saaun Di Jhadi","Babbu Maan",2001-02-24,300586,51,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi pop",0.66,0.893,10,-11.188,0,0.103,0.157,0.00000213,0.116,0.871,159.953,4
7lLK54uLacVf9WjQZ6Fcnq,"0rzro6gGpZdlqUNogguY7s,3Me5NY3YMoceSZSy9FfooB,4jx6nx9GUfF1x31hBf5hfY,2MqzsoDM1dVWmvdWha49kY","Bari Kholkey","The Debut","Indy Sagu feat. Surinder Shinda & Nee2,Indy Sagu,Surinder Shinda,Nee2",2002-01-01,271160,37,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,punjabi folk",0.688,0.845,5,-7.808,1,0.263,0.0569,0.00086,0.275,0.905,170.139,4
4eIOdicpfNZq1CHTD6U2BW,"3ttzOzBpRWRBzhn6thqhdT","Sajna Ve Sajna","Gurdas Maan Hits","Gurdas Maan",2000-02-22,382733,41,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic bhangra,classic punjabi pop,filmi,punjabi pop,sufi",0.431,0.604,0,-7.414,0,0.0586,0.807,0,0.579,0.746,80.915,4
4jtaNSEaY8820kJSj3whDc,"3JKOjnTItO7xSkbNNEgHdQ,1MPTJeQJDDTLbg9eR7Zcrz","Phatak Kotakpure Da","Desi Rakaad-Geetan Bhari Kahani","Didar Sandhu,Amar Noorie",2011-10-31,142640,39,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk",0.813,0.537,3,-11.488,1,0.312,0.792,0.00000915,0.2,0.953,122.057,4
0aK7YMYxv04nO4fiIkYrA8,"5MjQby5pq8m4mANED6jFbA,5fucIZfxk9a3qSYc5nMkVC","Tenu Milne Da Cha","Sada Punjab - Akhiyan Ch Tu Vasda,Vol. 2","Asa Singh Mastana,Surinder Kaur",2010-07-14,397773,27,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk",0.615,0.484,1,-13.105,1,0.0662,0.605,0.000023,0.361,0.884,104.541,4
5ysIp2rJDfWkXVsYAMisa9,"1kfqHPfj8yygKGMD3NrDE5,0DyXyd0D6fMUsuD6yONANx","Nakhreya Mari","American Desi 2","DJ Sanj,Miss Pooja",2013-08-08,179440,49,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,punjabi pop",0.64,0.944,6,-3.803,1,0.226,0.00951,0.000159,0.858,0.814,98.032,4
1m7dfpKvK5psdQL8q8VCHk,"3ttzOzBpRWRBzhn6thqhdT","Dil Da Mamla","Challa Te Mirza","Gurdas Maan",2010-09-30,260786,0,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic bhangra,classic punjabi pop,filmi,punjabi pop,sufi",0.589,0.513,0,-10.93,0,0.0475,0.814,0,0.355,0.766,142.317,4
7EU4nPTtgGgvsSOxC7nJgj,"5fucIZfxk9a3qSYc5nMkVC","Akhiyan Ch Ton Wasda","Luti Heer Ve Gaman Ne - Surinder Kaur","Surinder Kaur",2002-07-17,240880,38,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk",0.499,0.303,3,-14.338,1,0.197,0.966,0.0107,0.152,0.404,146.062,4
